date,hours worked,employee id,job group
05/03/2024,8,2,B
06/03/2024,7,1,A
07/03/2024,6.5,3,B
08/03/2024,5,4,A
09/03/2024,8,2,B
10/03/2024,7.5,1,A
11/03/2024,6,3,B
12/03/2024,5.5,4,A
13/03/2024,8,2,B
14/03/2024,7,1,A
15/03/2024,6.5,3,B
16/03/2024,5,4,A
17/03/2024,8,2,B
18/03/2024,7.5,1,A
19/03/2024,6,3,B
20/03/2024,5.5,4,A
21/03/2024,8,2,B
22/03/2024,7,1,A
23/03/2024,6.5,3,B
24/03/2024,5,4,A
25/03/2024,8,2,B
26/03/2024,7.5,1,A
27/03/2024,6,3,B
28/03/2024,5.5,4,A
29/03/2024,8,2,B
30/03/2024,7,1,A
31/03/2024,6.5,3,B
01/04/2024,5,4,A
02/04/2024,8,2,B
03/04/2024,7.5,1,A
04/04/2024,6,3,B
05/04/2024,5.5,4,A
